"PassengerId","HomePlanet","CryoSleep","Cabin","Destination","Age","VIP","RoomService","FoodCourt","ShoppingMall","Spa","VRDeck","Name","Transported","Group","Number","total_spending","Deck","Cabin_num","Side"
"0014_01","Mars",0,"F/3/P","55 Cancri e",27,0,1286,122,0,0,0,"Flats Eccle",0,1,"  14",1408,"F",3,1
"0015_01","Earth",0,"F/4/P","55 Cancri e",24,0,0,1,0,0,637,"Carry Hughriend",0,1,"  15",638,"F",4,1
"0016_01","Mars",1,"F/5/P","TRAPPIST-1e",45,0,0,0,0,0,0,"Alus Upead",1,1,"  16",0,"F",5,1
"0017_01","Earth",0,"G/0/P","TRAPPIST-1e",0,0,0,0,0,0,0,"Lyde Brighttt",1,1,"  17",0,"G",0,1
"0017_02","Earth",0,"F/6/P","55 Cancri e",14,0,412,0,1,0,679,"Philda Brighttt",0,2,"  17",1092,"F",6,1
"0020_01","Earth",1,"E/0/S","TRAPPIST-1e",1,0,0,0,0,0,0,"Almary Brantuarez",0,1,"  20",0,"E",0,0
"0020_02","Earth",1,"E/0/S","55 Cancri e",49,0,0,0,0,0,0,"Glendy Brantuarez",0,2,"  20",0,"E",0,0
"0020_03","Earth",1,"E/0/S","55 Cancri e",29,0,0,0,0,0,0,"Mollen Mcfaddennon",0,3,"  20",0,"E",0,0
"0020_04","Earth",0,"E/0/S","TRAPPIST-1e",10,0,0,0,0,0,0,"Breney Jacostanley",1,4,"  20",0,"E",0,0
"0020_05","Earth",1,"E/0/S","PSO J318.5-22",1,0,0,0,0,0,0,"Mael Brantuarez",0,5,"  20",0,"E",0,0
"0020_06","Earth",0,"E/0/S","TRAPPIST-1e",7,0,0,0,0,0,0,"Terta Mcfaddennon",0,6,"  20",0,"E",0,0
"0022_01","Mars",0,"D/0/P","TRAPPIST-1e",21,0,980,2,69,0,0,NA,0,1,"  22",1051,"D",0,1
"0024_01","Europa",1,"C/2/S","TRAPPIST-1e",62,0,0,0,0,0,0,"Penton Fullided",1,1,"  24",0,"C",2,0
"0025_01","Earth",0,"F/6/S","TRAPPIST-1e",15,0,0,225,0,998,0,"Karard Brookenson",0,1,"  25",1223,"F",6,0
"0026_01","Europa",0,"C/0/P","55 Cancri e",34,0,22,6073,0,1438,328,"Anyoni Unconary",0,1,"  26",7861,"C",0,1
"0028_01","Mars",0,"F/8/P","TRAPPIST-1e",43,0,1125,0,136,48,0,"Ceros Mare",0,1,"  28",1309,"F",8,1
"0030_01","Earth",0,"G/4/S","TRAPPIST-1e",32,0,0,850,81,437,453,"Ginia Morsentley",0,1,"  30",1821,"G",4,0
"0031_01","Mars",0,"F/9/P","TRAPPIST-1e",47,0,214,0,1411,0,1229,"Coobix Datie",1,1,"  31",2854,"F",9,1
"0031_02","Mars",0,"F/9/P","TRAPPIST-1e",2,0,0,0,0,0,0,"Cinets Datie",1,2,"  31",0,"F",9,1
"0031_03","Mars",0,"F/9/P","TRAPPIST-1e",20,0,0,0,1750,990,0,"Dontch Datie",1,3,"  31",2740,"F",9,1
"0034_01","Europa",1,"D/1/S","55 Cancri e",28,0,0,0,0,0,0,"Ziba Oingwhedly",1,1,"  34",0,"D",1,0
"0035_01","Mars",0,"D/1/P","55 Cancri e",23,0,784,964,0,951,0,"Luse Butte",0,1,"  35",2699,"D",1,1
"0036_01","Earth",0,"F/8/S","55 Cancri e",15,0,0,492,48,20,401,"Marina Leodger",0,1,"  36",961,"F",8,0
"0038_01","Earth",0,"F/10/S","55 Cancri e",20,0,554,195,0,2606,0,"Loise Wheelez",0,1,"  38",3355,"F",10,0
"0039_01","Earth",1,"G/1/P","55 Cancri e",30,0,0,0,0,0,0,"Jorgie Batthewitt",0,1,"  39",0,"G",1,1
"0041_01","Earth",1,"G/2/P","TRAPPIST-1e",17,0,0,0,0,0,0,"Margia Moodsey",1,1,"  41",0,"G",2,1
"0043_01","Europa",0,"B/3/P","TRAPPIST-1e",45,0,0,164,45,2511,855,"Ankalik Cylistrand",0,1,"  43",3575,"B",3,1
"0044_01","Earth",1,"G/3/P","TRAPPIST-1e",55,0,0,0,0,0,0,"Jodye Coopelandez",0,1,"  44",0,"G",3,1
"0044_02","Earth",1,"G/3/P","55 Cancri e",4,0,0,0,0,0,0,"Kayne Coopelandez",1,2,"  44",0,"G",3,1
"0044_03","Earth",1,"G/3/P","PSO J318.5-22",21,0,0,0,0,0,0,"Cassa Coopelandez",1,3,"  44",0,"G",3,1
"0045_01","Mars",0,"F/10/P","TRAPPIST-1e",21,0,970,0,180,0,64,"Zelowl Chmad",0,1,"  45",1214,"F",10,1
"0045_02","Mars",1,"F/10/P","Other",19,0,0,0,0,0,0,"Mass Chmad",1,2,"  45",0,"F",10,1
"0050_01","Earth",0,"E/1/S","55 Cancri e",35,0,790,0,0,0,0,"Sony Lancis",0,1,"  50",790,"E",1,0
"0051_01","Earth",0,"E/2/S","TRAPPIST-1e",56,0,0,112,0,1379,127,"Vivia Johnshines",0,1,"  51",1618,"E",2,0
"0052_01","Earth",0,"G/6/S","TRAPPIST-1e",29.8770601336303,0,4,0,2,4683,0,"Elaney Hubbarton",0,1,"  52",4689,"G",6,0
"0053_01","Earth",0,"F/11/S","TRAPPIST-1e",25,0,0,0,1938,0,1,"Elson Hickerson",1,1,"  53",1939,"F",11,0
"0056_01","Europa",0,"A/1/S","TRAPPIST-1e",2,0,0,0,0,0,0,"Okulas Tractive",1,1,"  56",0,"A",1,0
"0056_02","Europa",1,"A/1/S","TRAPPIST-1e",38,0,0,0,0,0,0,"Instab Tractive",1,2,"  56",0,"A",1,0
"0056_03","Europa",0,"A/1/S","TRAPPIST-1e",27,0,279,605,3374,286,3,"Zinoces Tractive",1,3,"  56",4547,"A",1,0
"0058_01","Earth",1,"G/7/S","PSO J318.5-22",36,0,0,0,0,0,0,"Warry Ayalazquez",0,1,"  58",0,"G",7,0
"0061_01","Earth",0,"F/12/S","TRAPPIST-1e",22,0,45,1096,148,1377,1,"Shanya Salez",0,1,"  61",2667,"F",12,0
"0062_01","Earth",0,"F/13/S","TRAPPIST-1e",62,0,0,592,0,17,25,"Sterry Greeves",0,1,"  62",634,"F",13,0
"0064_01","Mars",1,"F/14/S","TRAPPIST-1e",15,0,0,0,0,0,0,NA,1,1,"  64",0,"F",14,0
"0064_02","Other",1,"E/3/S","TRAPPIST-1e",33,0,0,0,0,0,0,"Colatz Keen",1,2,"  64",0,"E",3,0
"0066_01","Earth",0,"G/6/P","TRAPPIST-1e",62,0,1,153,197,0,460,"Diandy Pecketton",0,1,"  66",811,"G",6,1
"0067_01","Earth",1,"G/10/S","PSO J318.5-22",0,0,0,0,0,0,0,"Ninaha Leeves",1,1,"  67",0,"G",10,0
"0067_02","Earth",0,"G/10/S","TRAPPIST-1e",18,0,1,258,446,0,0,"Celine Leeves",1,2,"  67",705,"G",10,0
"0067_03","Earth",0,"F/15/S","55 Cancri e",21,0,1946,37,0,0,24,"Velyne Leeves",0,3,"  67",2007,"F",15,0
"0068_01","Mars",0,"E/4/S","TRAPPIST-1e",33.0182767624021,0,793,0,2,253,0,"Cinst Binie",0,1,"  68",1048,"E",4,0
"0069_01","Earth",0,"F/16/S","TRAPPIST-1e",42,0,887,0,9,6,0,NA,1,1,"  69",902,"F",16,0
"0070_01","Earth",0,"F/13/P","TRAPPIST-1e",19,0,190,0,5,1,726,"Meremy Brighttt",0,1,"  70",922,"F",13,1
"0071_01","Earth",0,"F/14/P","TRAPPIST-1e",17,0,16,2165,0,0,52,"Nelly Dillines",0,1,"  71",2233,"F",14,1
"0072_01","Earth",0,"F/17/S","TRAPPIST-1e",14,0,0,1,0,0,1063,"Thell Brantuarez",0,1,"  72",1064,"F",17,0
"0073_01","Mars",0,"D/3/P","PSO J318.5-22",37,0,46,83,738,0,12,"Gorn Make",0,1,"  73",879,"D",3,1
"0074_01","Europa",0,"C/3/S","TRAPPIST-1e",42,0,1,8397,0,0,506,"Aldibah Mostedry",1,1,"  74",8904,"C",3,0
"0076_01","Mars",0,"F/18/S","TRAPPIST-1e",27,0,147,0,1018,0,0,"Conk Dal",1,1,"  76",1165,"F",18,0
"0077_01","Mars",0,"F/15/P","TRAPPIST-1e",28,0,14,0,1295,0,0,"Pon Blité",1,1,"  77",1309,"F",15,1
"0078_01","Europa",0,"C/4/S","TRAPPIST-1e",38,0,0,5840,0,321,9654,"Spuri Pokerheed",0,1,"  78",15815,"C",4,0
"0081_01","Earth",1,"G/13/S","TRAPPIST-1e",13,0,0,0,0,0,0,"Dellie Vinozarks",0,1,"  81",0,"G",13,0
"0082_01","Mars",0,"F/16/P","TRAPPIST-1e",42,0,7406,0,0,0,0,"Totse Datte",0,1,"  82",7406,"F",16,1
"0082_02","Mars",1,"F/16/P","TRAPPIST-1e",2,0,0,0,0,0,0,"Eaturs Datte",1,2,"  82",0,"F",16,1
"0082_03","Mars",0,"F/16/P","TRAPPIST-1e",8,0,0,0,0,0,0,NA,1,3,"  82",0,"F",16,1
"0084_01","Earth",0,"G/14/S","TRAPPIST-1e",24,0,688,0,0,0,17,"Coren Coopezmaney",1,1,"  84",705,"G",14,0
"0085_01","Europa",1,"C/5/S","TRAPPIST-1e",40,0,0,0,0,0,0,"Furudah Ellcefulve",1,1,"  85",0,"C",5,0
"0086_01","Earth",0,"F/17/P","TRAPPIST-1e",43,0,211,0,0,638,513,"Jodye Kinson",0,1,"  86",1362,"F",17,1
"0088_01","Mars",1,"E/5/S","PSO J318.5-22",45,0,0,0,0,0,0,"Stmeal Sacre",1,1,"  88",0,"E",5,0
"0090_01","Earth",1,"G/15/S","TRAPPIST-1e",35,0,0,0,0,0,0,"Heremy Santry",1,1,"  90",0,"G",15,0
"0091_01","Earth",1,"G/16/S","TRAPPIST-1e",26,0,0,0,0,0,0,"Deanne Yorkland",1,1,"  91",0,"G",16,0
"0091_02","Earth",0,"F/20/S","TRAPPIST-1e",27,0,1,697,31,188,0,"Tinez Yorkland",0,2,"  91",917,"F",20,0
"0092_01","Earth",0,"G/9/P","TRAPPIST-1e",19,0,0,0,670,1,34,"Gracy Dunnisey",0,1,"  92",705,"G",9,1
"0092_02","Earth",1,"G/9/P","TRAPPIST-1e",0,0,0,0,0,0,0,"Stald Hewson",1,2,"  92",0,"G",9,1
"0092_03","Earth",1,"G/9/P","TRAPPIST-1e",3,0,0,0,0,0,0,"Tiney Hewson",1,3,"  92",0,"G",9,1
"0097_01","Europa",0,"A/2/S","TRAPPIST-1e",54,0,0,1208,0,3,637,"Alchium Fictful",0,1,"  97",1848,"A",2,0
"0098_01","Earth",0,"G/11/P","TRAPPIST-1e",26,0,0,856,5,32,0,"Doria Carezquez",0,1,"  98",893,"G",11,1
"0098_02","Earth",0,"G/11/P","TRAPPIST-1e",26,0,0,2811,957,0,87,"Leence Carezquez",1,2,"  98",3855,"G",11,1
"0099_01","Earth",0,"F/19/P","PSO J318.5-22",23,0,311,427,526,37,0,"Aliey Leetersoney",0,1,"  99",1301,"F",19,1
"0099_02","Earth",1,"G/12/P","TRAPPIST-1e",2,0,0,0,0,0,0,"Thewis Connelson",1,2,"  99",0,"G",12,1
"0101_01","Mars",1,"G/82/P","TRAPPIST-1e",31,0,0,0,0,0,0,"Book Trad",1,1," 101",0,"G",82,1
"0102_01","Earth",0,"F/23/S","TRAPPIST-1e",18,0,0,0,0,830,91,"Ritany Holson",0,1," 102",921,"F",23,0
"0103_01","Earth",0,"F/24/S","TRAPPIST-1e",24,0,0,0,0,0,17,"Arlen Mclainez",1,1," 103",17,"F",24,0
"0103_02","Earth",1,"G/18/S","55 Cancri e",9,0,0,0,0,0,0,"Shaele Mclainez",1,2," 103",0,"G",18,0
"0103_03","Earth",1,"G/18/S","TRAPPIST-1e",6,0,0,0,0,0,0,"Fanne Mclainez",0,3," 103",0,"G",18,0
"0105_01","Earth",0,"F/21/P","TRAPPIST-1e",27,0,0,0,570,2,131,"Carry Cleachrand",0,1," 105",703,"F",21,1
"0107_01","Mars",0,"D/2/S","TRAPPIST-1e",21,0,1743,5,17,0,0,"Coobix Hart",0,1," 107",1765,"D",2,0
"0108_01","Earth",1,"G/19/S","TRAPPIST-1e",23,0,0,0,0,0,0,"Natald Handertiz",0,1," 108",0,"G",19,0
"0108_02","Earth",0,"G/19/S","TRAPPIST-1e",31,0,562,0,326,0,0,NA,0,2," 108",888,"G",19,0
"0108_03","Earth",0,"G/19/S","TRAPPIST-1e",0,0,0,0,0,0,0,"Oline Handertiz",1,3," 108",0,"G",19,0
"0110_01","Europa",0,"T/82/S","TRAPPIST-1e",32,0,0,410,6,3929,764,"Graviph Aloubtled",0,1," 110",5109,"T",82,0
"0110_02","Europa",1,"B/5/P","TRAPPIST-1e",40,0,0,331,0,0,1687,"Aldeba Bootious",0,2," 110",2018,"B",5,1
"0110_03","Europa",0,"B/5/P","TRAPPIST-1e",42,0,2209,11418,0,1868,445,"Alaratz Aloubtled",1,3," 110",15940,"B",5,1
"0110_04","Europa",1,"B/5/P","TRAPPIST-1e",28,0,0,0,0,0,0,"Izark Aloubtled",1,4," 110",0,"B",5,1
"0111_01","Europa",1,"E/6/S","TRAPPIST-1e",29,0,0,0,0,0,0,"Aldera Supred",1,1," 111",0,"E",6,0
"0112_01","Europa",0,"B/1/S","55 Cancri e",48,1,0,2537,87,17,13,"Moth Cowtale",1,1," 112",2654,"B",1,0
"0113_01","Earth",0,"F/23/P","TRAPPIST-1e",64,0,0,0,804,0,0,"Idary Carvis",1,1," 113",804,"F",23,1
"0114_01","Earth",0,"G/20/S","TRAPPIST-1e",27,0,82,157,429,238,1,"Maura Beckerson",0,1," 114",907,"G",20,0
"0115_01","Mars",0,"F/24/P","TRAPPIST-1e",26,0,0,0,0,0,0,"Rohs Pead",1,1," 115",0,"F",24,1
"0116_01","Europa",0,"D/4/P","TRAPPIST-1e",33,0,1,2223,0,12,404,"Alhenah Suptive",1,1," 116",2640,"D",4,1
"0119_01","Other",0,"A/0/P","TRAPPIST-1e",39,0,0,2344,0,65,6898,"Batan Coning",0,1," 119",9307,"A",0,1
"0119_02","Europa",1,"A/0/P","TRAPPIST-1e",13,0,0,0,0,0,0,"Kleeiak Coning",1,2," 119",0,"A",0,1
"0120_01","Mars",1,"F/25/P","TRAPPIST-1e",24,0,0,0,0,0,0,"Bees Sacre",1,1," 120",0,"F",25,1
"0122_01","Earth",0,"G/21/S","TRAPPIST-1e",29,0,0,0,0,699,74,"Shelle Hayder",0,1," 122",773,"G",21,0
"0123_01","Earth",0,"F/27/P","TRAPPIST-1e",18,0,55,597,49,0,1,"Iree Fielson",0,1," 123",702,"F",27,1
"0126_01","Mars",1,"F/27/S","TRAPPIST-1e",67,0,0,0,0,0,0,"Milly Mish",1,1," 126",0,"F",27,0
"0127_01","Mars",0,"E/7/S","TRAPPIST-1e",35,0,701,0,296,0,25,"Miloss Mesty",0,1," 127",1022,"E",7,0
"0128_01","Mars",0,"D/3/S","TRAPPIST-1e",61,1,2353,334,9,316,2,"Grohs Fles",0,1," 128",3014,"D",3,0
"0128_02","Mars",0,"E/8/S","TRAPPIST-1e",45,0,2103,6,0,0,0,"Barave Fles",0,2," 128",2109,"E",8,0
"0129_01","Earth",1,"G/22/S","PSO J318.5-22",22,0,0,0,0,0,0,"Race Fowles",1,1," 129",0,"G",22,0
"0133_01","Mars",1,"F/29/S","TRAPPIST-1e",19,0,0,0,0,0,0,"Flynx Blie",1,1," 133",0,"F",29,0
"0133_02","Mars",0,"D/5/S","TRAPPIST-1e",36,0,2738,0,0,0,0,"Egrasp Blie",0,2," 133",2738,"D",5,0
"0134_01","Earth",0,"G/17/P","TRAPPIST-1e",19,0,0,14,730,0,0,"Camina Harmontry",1,1," 134",744,"G",17,1
"0136_01","Earth",0,"G/23/S","PSO J318.5-22",47,0,97,418,126,25,55,NA,0,1," 136",721,"G",23,0
"0138_01","Earth",1,"G/18/P","TRAPPIST-1e",13,0,0,0,0,0,0,"Fayene Gambs",1,1," 138",0,"G",18,1
"0138_02","Earth",0,"E/5/P","Other",34,0,0,22,0,564,207,"Monah Gambs",0,2," 138",793,"E",5,1
"0139_01","Europa",1,"C/6/S","55 Cancri e",35,0,0,0,0,0,0,"Charda Myling",1,1," 139",0,"C",6,0
"0140_01","Earth",1,"G/19/P","TRAPPIST-1e",24,0,0,0,0,0,0,"Evaley Mejiaddox",1,1," 140",0,"G",19,1
"0140_02","Earth",0,"F/29/P","TRAPPIST-1e",26,0,440,0,0,0,462,"Verney Whitakers",0,2," 140",902,"F",29,1
"0141_01","Mars",0,"F/30/P","TRAPPIST-1e",31,0,0,0,97,0,0,"Pyrohs Harte",0,1," 141",97,"F",30,1
"0144_01","Earth",0,"F/31/S","TRAPPIST-1e",20,0,0,420,210,0,0,"Guadae Dayers",1,1," 144",630,"F",31,0
"0146_01","Earth",0,"G/25/S","TRAPPIST-1e",56,0,0,0,0,0,0,"Verly Wolferguson",0,1," 146",0,"G",25,0
"0147_01","Earth",1,"G/26/S","TRAPPIST-1e",50,0,0,0,0,0,0,"Samie Hubbarrison",1,1," 147",0,"G",26,0
"0148_01","Mars",0,"F/31/P","TRAPPIST-1e",42,0,1072,0,10,0,76,"Corsh Pashe",0,1," 148",1158,"F",31,1
"0149_01","Earth",1,"G/27/S","55 Cancri e",27.5135649690624,0,0,0,0,0,0,"Billya Hubbarrison",1,1," 149",0,"G",27,0
"0151_01","Earth",1,"G/20/P","55 Cancri e",38,0,0,0,0,0,0,"Shanie Simson",0,1," 151",0,"G",20,1
"0152_01","Earth",0,"F/32/P","Other",41,0,0,0,0,0,607,"Andan Estron",0,1," 152",607,"F",32,1
"0160_01","Earth",0,"G/22/P","TRAPPIST-1e",22,0,4119,0,0,0,61,"Gory Atkinney",0,1," 160",4180,"G",22,1
"0163_01","Europa",1,"B/8/P","TRAPPIST-1e",26,0,0,0,0,0,0,"Kabiton Hetforhaft",1,1," 163",0,"B",8,1
"0163_02","Europa",1,"B/8/P","TRAPPIST-1e",17,0,0,0,0,0,0,"Scharab Hetforhaft",1,2," 163",0,"B",8,1
"0164_01","Earth",0,"G/28/S","TRAPPIST-1e",57,0,50,1688,0,0,135,"Fany Hutchinton",1,1," 164",1873,"G",28,0
"0164_02","Earth",1,"G/28/S","PSO J318.5-22",17,0,0,0,0,0,0,"Ianya Hutchinton",0,2," 164",0,"G",28,0
"0165_01","Mars",1,"F/37/P","TRAPPIST-1e",35,0,0,0,0,0,0,"Graven Anche",1,1," 165",0,"F",37,1
"0167_01","Mars",1,"F/35/S","TRAPPIST-1e",13,0,0,0,0,0,0,"Miten Floaf",1,1," 167",0,"F",35,0
"0167_02","Mars",0,"F/35/S","TRAPPIST-1e",27,0,1365,0,48,22,137,"Rios Floaf",0,2," 167",1572,"F",35,0
"0169_01","Earth",1,"G/23/P","TRAPPIST-1e",31,0,0,0,0,0,0,"Wandy Fisherry",0,1," 169",0,"G",23,1
"0170_01","Earth",0,"E/10/S","TRAPPIST-1e",24,0,0,0,0,221,567,"Mollie Mcmahoney",0,1," 170",788,"E",10,0
"0171_01","Earth",1,"G/30/S","PSO J318.5-22",19,0,0,0,0,0,0,"Coracy Gordanieves",1,1," 171",0,"G",30,0
"0172_01","Earth",1,"G/24/P","TRAPPIST-1e",32,0,0,0,0,0,0,"Hanna Johnshines",1,1," 172",0,"G",24,1
"0173_01","Earth",0,"E/11/S","TRAPPIST-1e",58,0,0,985,0,5,0,"Hilip Grifford",1,1," 173",990,"E",11,0
"0174_01","Earth",0,"F/38/P","55 Cancri e",21,0,287,0,16,115,175,"Doryn Lambles",0,1," 174",593,"F",38,1
"0177_01","Europa",0,"B/2/S","TRAPPIST-1e",38,0,0,10346,1,14970,2111,"Toperon Iniouser",0,1," 177",27428,"B",2,0
"0178_01","Mars",0,"D/6/S","TRAPPIST-1e",38,0,3414,0,161,28,119,"Wees Knik",0,1," 178",3722,"D",6,0
"0179_01","Earth",0,"G/26/P","TRAPPIST-1e",19,0,1,219,673,2,11,"Elaney Webstephrey",1,1," 179",906,"G",26,1
"0179_02","Earth",0,"G/26/P","TRAPPIST-1e",0,0,0,0,0,0,0,"Raque Webstephrey",0,2," 179",0,"G",26,1
"0179_03","Earth",0,"G/26/P","TRAPPIST-1e",3,0,0,0,0,0,0,"Sallyl Webstephrey",1,3," 179",0,"G",26,1
"0181_01","Earth",0,"G/27/P","TRAPPIST-1e",20,0,0,0,3,299,92,"Nancis Brighttt",0,1," 181",394,"G",27,1
"0182_01","Europa",1,"C/3/P","TRAPPIST-1e",24,0,0,0,0,0,0,"Ksorab Disight",1,1," 182",0,"C",3,1
"0183_01","Earth",0,"F/36/S","TRAPPIST-1e",37,0,17,146,426,0,232,"Stany Weaves",1,1," 183",821,"F",36,0
"0186_01","Earth",0,"G/28/P","TRAPPIST-1e",25,0,62,0,0,0,956,"Camiet Shephendry",0,1," 186",1018,"G",28,1
"0188_01","Earth",1,"G/31/S","TRAPPIST-1e",56,0,0,0,0,0,0,"Branda Romez",1,1," 188",0,"G",31,0
"0189_01","Earth",0,"E/8/P","55 Cancri e",49,0,84,3,401,202,98,"Helly Booters",0,1," 189",788,"E",8,1
"0190_01","Earth",1,"G/32/S","55 Cancri e",11,0,0,0,0,0,0,NA,0,1," 190",0,"G",32,0
"0192_01","Earth",1,"G/29/P","TRAPPIST-1e",1,0,0,0,0,0,0,"Tance Adavisons",1,1," 192",0,"G",29,1
"0192_02","Earth",0,"G/29/P","TRAPPIST-1e",8,0,0,0,0,0,0,"Robyny Adavisons",0,2," 192",0,"G",29,1
"0192_03","Earth",0,"G/29/P","TRAPPIST-1e",39,0,0,0,10,898,0,"Lilace Adavisons",0,3," 192",908,"G",29,1
"0193_01","Mars",1,"F/41/P","TRAPPIST-1e",2,0,0,0,0,0,0,"Sps Raf",1,1," 193",0,"F",41,1
"0193_02","Mars",0,"F/41/P","TRAPPIST-1e",23,0,0,0,8,1072,0,"Frook Raf",0,2," 193",1080,"F",41,1
"0193_03","Mars",0,"F/41/P","TRAPPIST-1e",0,0,0,0,0,0,0,"Goles Raf",1,3," 193",0,"F",41,1
"0195_01","Mars",0,"F/42/P","TRAPPIST-1e",39,0,406,0,867,0,0,"Bar Floaf",1,1," 195",1273,"F",42,1
"0196_01","Mars",0,"D/5/P","PSO J318.5-22",25,0,1052,0,719,0,7,"Caper Emead",0,1," 196",1778,"D",5,1
"0197_01","Europa",0,"C/5/P","TRAPPIST-1e",36,0,0,972,0,795,575,"Astrak Dissper",0,1," 197",2342,"C",5,1
"0198_01","Earth",1,"G/30/P","PSO J318.5-22",52,0,0,0,0,0,0,"Jeroy Cookson",1,1," 198",0,"G",30,1
"0199_01","Earth",1,"G/33/S","TRAPPIST-1e",18,0,0,0,0,0,0,"Regana Morrows",0,1," 199",0,"G",33,0
"0200_01","Earth",1,"G/31/P","TRAPPIST-1e",15,0,0,0,0,0,0,"Elia Colomonson",1,1," 200",0,"G",31,1
"0201_01","Europa",1,"B/3/S","TRAPPIST-1e",35,0,0,0,0,0,0,"Kaffias Bacistion",1,1," 201",0,"B",3,0
"0201_02","Europa",1,"B/3/S","TRAPPIST-1e",47,0,0,0,0,0,0,"Edaruma Bacistion",1,2," 201",0,"B",3,0
"0202_01","Europa",1,"B/9/P","55 Cancri e",45,0,0,0,0,0,0,"Pomera Embleng",1,1," 202",0,"B",9,1
"0202_02","Europa",0,"A/2/P","55 Cancri e",33.0182767624021,0,0,2433,0,878,443,"Vegas Embleng",1,2," 202",3754,"A",2,1
"0203_01","Europa",1,"C/8/S","TRAPPIST-1e",51,0,0,0,0,0,0,"Ancham Heateele",1,1," 203",0,"C",8,0
"0205_01","Earth",0,"G/34/S","TRAPPIST-1e",29,0,0,2,66,0,705,"Carma Oneiles",0,1," 205",773,"G",34,0
"0206_01","Europa",0,"C/9/S","55 Cancri e",33.0182767624021,0,2,1720,12,1125,122,"Nuson Brugashed",1,1," 206",2981,"C",9,0
"0207_01","Earth",1,"G/32/P","PSO J318.5-22",19,0,0,0,0,0,0,"Thony Mcfaddennon",0,1," 207",0,"G",32,1
"0210_01","Other",1,"D/6/P","55 Cancri e",24,0,0,0,0,0,0,"Arraid Inicont",1,1," 210",0,"D",6,1
"0211_01","Mars",0,"F/44/P","TRAPPIST-1e",29,0,902,1,137,0,0,"Pebuts Appie",1,1," 211",1040,"F",44,1
"0211_02","Mars",1,"F/44/P","TRAPPIST-1e",11,0,0,0,0,0,0,"Corsh Appie",1,2," 211",0,"F",44,1
"0211_03","Mars",0,"F/44/P","TRAPPIST-1e",17,0,848,0,307,182,0,"Picers Date",0,3," 211",1337,"F",44,1
"0212_01","Earth",0,"E/9/P","TRAPPIST-1e",13,0,192,0,0,51,739,"Inen Workmans",0,1," 212",982,"E",9,1
"0212_02","Earth",0,"F/45/P","TRAPPIST-1e",35,0,147,188,0,10,387,"Shally Workmans",0,2," 212",732,"F",45,1
"0213_01","Earth",0,"F/46/P","TRAPPIST-1e",21,0,367,281,0,0,146,"Carita Navages",0,1," 213",794,"F",46,1
"0216_01","Earth",0,"F/40/S","55 Cancri e",21,0,0,56,0,0,1918,"Searla Garnes",0,1," 216",1974,"F",40,0
"0217_01","Earth",0,"F/47/P","TRAPPIST-1e",38,0,1517,0,0,27,0,"Prilly Shieldson",0,1," 217",1544,"F",47,1
